Date	Open	High	Low	Close	Volume
02/15/17	"2,335.58"	"2,351.30"	"2,334.81"	"2,349.25"	"2,251,620,057"
02/14/17	"2,326.12"	"2,337.58"	"2,322.17"	"2,337.58"	"2,161,361,274"
02/13/17	"2,321.72"	"2,331.58"	"2,321.42"	"2,328.25"	"1,958,736,592"
02/10/17	"2,312.27"	"2,319.23"	"2,311.10"	"2,316.10"	"2,067,124,621"
02/09/17	"2,296.70"	"2,311.08"	"2,296.61"	"2,307.87"	"2,118,564,108"
02/08/17	"2,289.55"	"2,295.91"	"2,285.38"	"2,294.67"	"2,113,479,926"
02/07/17	"2,295.87"	"2,299.40"	"2,290.16"	"2,293.08"	"2,079,166,228"
02/06/17	"2,294.28"	"2,296.18"	"2,288.57"	"2,292.56"	"1,902,540,482"
02/03/17	"2,288.54"	"2,298.31"	"2,287.88"	"2,297.42"	"2,208,634,271"
02/02/17	"2,276.69"	"2,283.97"	"2,271.65"	"2,280.85"	"2,321,960,100"
02/01/17	"2,285.59"	"2,289.14"	"2,272.44"	"2,279.55"	"2,478,979,663"
01/31/17	"2,274.02"	"2,279.09"	"2,267.21"	"2,278.87"	"2,555,320,206"
01/30/17	"2,286.01"	"2,286.01"	"2,268.04"	"2,280.90"	"2,108,083,825"
01/27/17	"2,299.02"	"2,299.02"	"2,291.62"	"2,294.69"	"1,999,261,103"
01/26/17	"2,298.63"	"2,300.99"	"2,294.08"	"2,296.68"	"2,333,681,818"
01/25/17	"2,288.88"	"2,299.55"	"2,288.88"	"2,298.37"	"2,461,512,021"
01/24/17	"2,267.88"	"2,284.63"	"2,266.68"	"2,280.07"	"2,229,227,176"
01/23/17	"2,267.78"	"2,271.78"	"2,257.02"	"2,265.20"	"1,990,552,394"
01/20/17	"2,269.96"	"2,276.96"	"2,265.01"	"2,271.31"	"2,311,814,026"
01/19/17	"2,271.90"	"2,274.33"	"2,258.41"	"2,263.69"	"2,041,282,775"
01/18/17	"2,269.14"	"2,272.01"	"2,263.35"	"2,271.89"	"1,998,643,920"
01/17/17	"2,269.14"	"2,272.08"	"2,262.81"	"2,267.89"	"2,212,200,212"
01/13/17	"2,272.74"	"2,278.68"	"2,271.51"	"2,274.64"	"1,780,997,918"
01/12/17	"2,271.14"	"2,271.78"	"2,254.25"	"2,270.44"	"1,937,385,140"
01/11/17	"2,268.60"	"2,275.32"	"2,260.83"	"2,275.32"	"2,118,289,876"
01/10/17	"2,269.72"	"2,279.27"	"2,265.27"	"2,268.90"	"2,138,024,556"
01/09/17	"2,273.59"	"2,275.49"	"2,268.90"	"2,268.90"	"1,914,652,521"
